Tweet,Label
"terus barusan dia menghubungi aku terus minta tolong buat bantu proyek dia. ya Allah, jujur agak takut tekanan tapi oke tidak apa-apa.",Fear
"sumpah ini receh banget dan tidak bts related. cuma jujur aku magang padat banget, dikasih proyek lumayan banyak. terus kemarin ada senior gd presentasi begitu dan keren-keren banget, nangis parah. Terus aku pengen chat beliau, pengen tanya-tanya. Minta nomornya ke hrd, dapat, tapi mau chat tidak jadi soalnya takut.",Fear
ragu untuk bisa beli barang itu karena harganya bisa buat cicilan bulanan.,Fear
"bisa tidak sih langsung tanggal 11 saja, tidak usah ada tanggal 10? aku takut banget, mana dua hari lagi.",Fear
"iya kan yang lain suka pada coba, pada tidak apa-apa tapi tetap takut wkwk.",Fear
eh sumpah aku takut banget. Serem banget itu orang.,Fear
"namjoon lagunya like like ngeri banget, anak buah imam jumbo memang sama saja semuanya.",Fear
bodoh banget dah pakai sok-sokan kaget.,Fear
"tolong nilai aku keluarnya lama banget, takut.",Fear
"mau ikut esd saja telat, terus takut gagal.",Fear
emm hampir setiap waktu begitu sampai panik?,Fear
jadi malu saya.,Fear
"sinb kamu hati-hati mukanya ya, takut karena editan jahat.",Fear
buset ngeri banget.,Fear
"nah kan, sudah pasti ada alasan kuat mengapa direksi sebelumnya mengundurkan diri. Belum apa-apa sudah jadi bumper. Ngeri-ngeri sedap.",Fear
pas bangun langsung kaget.,Fear
men's team grup b ngeri kali.,Fear
"tapi lagi pula aku tidak registrasi beneran, cuma stop di situ saja soalnya takut kualat. Kan sudah dibilangin yang tidak registrasi tanggal 14, hehe, sudah begitu saja.",Fear
"anak cewek sendiri, takut kenapa, kenapa kali. Saya pun tidak tahu.",Fear
"sudah mencoba dari pagi, siang, sore, malam sampai jam 1, 2, 3, 4 subuh juga tidak bisa terus aku panik dong.",Fear
"itu ada kecoak, jijik takut.",Fear
terima kasih sudah speak up bang. Aku ngeri akun kamu tiba-tiba kena petrus :(,Fear
"halo kak, paket saya masih belum ada update dari tanggal 29 januari sampai sekarang dan belum sampai juga. Bagaimana ya kak? Saya khawatir jika paket saya hilang, soalnya saya banyak lihat kasus paket hilang di twitter. Mohon bantu follow up ya kak, saya sudah 12 hari menunggu paket.",Fear
betul sama takut balasannya.,Fear
"tadi pagi terkunci yank. Sudahlah meskipun sudah terbuka tetap takut banget, jadinya pindah sekarang saja.",Fear
ngeri ya ampun.,Fear
weh takut limit.,Fear
"hari ini tidak dulu, ngeri.",Fear
"klarifikasi di instagramnya mas katanya ke resto sebelum tahu kalau positif. Itu lagi nunggu hasil. Padahal kan bisa nunggu di mobil, terus kalau mau makan ya tinggal drive thru. Aku nunggu hasil pcr saja tidak kemana-mana, ngeri kalau hasilnya positif bakal menulari. Lah dia malah santai saja anjir.",Fear
"namun, untukku itu hal tabu dan tidak baik untuk dilakukan, apalagi dada itu auratnya cewek, hal sensitifnya cewek. Meskipun masih kecil itu tidak bisa dilakukan. Kalau dilakukan terus menerus lama-lama jadi biasa bagi yang melakukan dan bakal dibawa sampai dewasa. Sumpah itu ngeri.",Fear
"iya, aku biasanya di tengah-tengah karena takut ada kendala begitu. Eh kena hnr.",Fear
"menyendiri dulu deh, mabuk dulu biar tidak panik.",Fear
"kucing kota, panik dia dikejar.",Fear
"takutlah kasus naik ini, erm.",Fear
kenapa mau menghasut orang tidak vaksin? Lalu bangga sekali bila orang vaksin takut cerita efek samping ke dia.,Fear
takut ya.,Fear
ngeri mba :(,Fear
kok suaranya aneh dan bikin merinding ya.,Fear
"berkali-kali ada debt collector ke rumah, nanya nama yang aku sendiri tidak kenal. Huhu, takut.",Fear
"kayak kalau memang tidak ada bisa tidak sih jangan terima orderan aku? Kan jadinya ngasih harapan palsu. Aku tidak mau kacang hijau, maunya tausa.",Fear
lagi stuck nih. Tidak tahu sampai kapan nih ceritaku. Takut tidak bisa melanjutkan. Ada yang pernah di posisi ini tidak guys? Dan apa yang kalian lakukan biar survive lagi?,Fear
cuma kaget saja.,Fear
"andin saja bawa ke sini, hazel masih bayi takut flu.",Fear
takut banget loh.,Fear
"nyontek pas ujian seni musik. Ya Allah, percayalah di sekolah aku semua anak lebih takut remedial musik ketimbang pelajaran eksakta lainnya, soalnya susah dan malas banget, gurunya paling killer seantero sekolah.",Fear
anjir kaget aku.,Fear
"dua hari yang lalu aku dibelikan kopi. Nah, aku kan tidak berani minum soalnya masih pagi, takut asam lambung aku kambuh soalnya mau ada kegiatan kan. Terus baru sempat minum kopinya barusan dan anjir, perasaan aku tidak enak, soalnya sudah merasa agak berdebar sedikit.",Fear
proyek di balik kepanikan atau panik di balik keproyekan.,Fear
ngeri editannya.,Fear
"jangan panik, jangan panik.",Fear
serius? Takut salah info.,Fear
"iya kan, aku saja sampai kaget katanya mereka juga sudah pada tahu kalau mirip.",Fear
"siap, huaa takut loh aku.",Fear
"ah aku baru baca data. Sudah terbiasa lihat kasus tinggi saja, jadi takut.",Fear
"dikepung, dikejar-kejar, ditangkap, ditakut-takuti.",Fear
takut.,Fear
"kenapa pas aku kirim pas banget dibaca dari bawah, anjing malu banget untung tidak dikasih lihat nama pengirimnya siapa.",Fear
pengen blink selca day tapi malu.,Fear
"benar, kalau mau tinggal sama salah satu orang tua pasti sering makan hati. Tapi kalau tinggal sendiri takut tidak bisa mengurus rumah apalagi diri sendiri. Jadi satu hal yang harus kita lakukan adalah bertahan hidup.",Fear
"mau balik kampus nemuin kajur, badan malah lemas tidak enak badan, jadi takut mau ke kampus lagi. Semoga saja tidak kenapa-kenapa aku.",Fear
kaget akun aku keluar sendiri.,Fear
ngeri amat wkwk.,Fear
"ih kaget tiba-tiba ada comeback lagi, ih ya ampun sampai hiatus.",Fear
"weh baru balik ngerjain tugas, kaget banget kok rame?",Fear
baim wong kaget menemukan banyak ular di rumahnya.,Fear
kalau gugup tuh rasanya kayak sudah mau mati gara-gara tidak bisa napas.,Fear
"md-nya juga tolong jangan lupa dibacain, takut meriang membutuhkan kasih sayang.",Fear
memang ya kalau sudah ragu mending tidak usah sekalian.,Fear
ngeri ini.,Fear
"jepang, singapura takut gila.",Fear
aku jadi takut pakai jnt.,Fear
ngeri.,Fear
"dan si mbaknya auto malu, pakai minta maaf. Padahal netizen indonesia ketawa-tawa doang karena mbaknya lucu dikira quote estetik.",Fear
takut banget ada star syndrome.,Fear
"tidak boleh, soalnya sudah makan mi kemarin. Takut lambung aku kambuh lagi kalau keseringan wkwk.",Fear
takut tidak bisa beli sedikit begitu.,Fear
takut tambah dewasa.,Fear
malu dan malas.,Fear
"aku malu sesuatu yang sudah lihat, selamat kalian pernah memandang wajah istri kak andrew.",Fear
"mau bilang kicep, takut. Begitu saja kok malu, sedih sekali.",Fear
"katanya sekolahku tidak bakal online, tapi setidaknya semuanya di-swab dong. Ngeri.",Fear
"tidak ada waktu, apa takut ada mata-mata.",Fear
"oh paham, agak kaget ya bunda.",Fear
takut banget jujur kalau nenek sudah turun tangan.,Fear
jangan lupa minum ya habis makan. Takut keselek.,Fear
takut banget loh (abaikan muka).,Fear
"tidak mau tegang, belum disuruh ayang, tidak usah di-zoom! Tidak boleh ayang.",Fear
"aku tidak tweet begituan di sini, malu dan pasti dikecam. Sekarang kan serem, apa-apa disebar. Tweet kayak pengen have sex sama anime langsung dipret atau di-diss lalu dijadikan bahan teh.",Fear
aku ngeri terkunci.,Fear
"alhamdulillah, panik banget hari ini banyak lagi ya.",Fear
ngeri tapi berusaha menenangkan diri.,Fear
"banyak yang bertanya, memangnya apa yang perlu saya cemaskan? Semuanya terlihat sempurna dan saya memiliki segalanya. Tanpa mereka tahu, bahkan saya cemas untuk sekadar tetap hidup lima menit setelah ini.",Fear
sengaja dibiarkan soalnya takut melanggar hak asasi manusia.,Fear
"jujur ya aku suka covernya tapi takut banget bacanya, makanya tidak beli.",Fear
"punya pasangan kena diajak ribut dulu baru rajin banget. Kaget lihat semua sudah dibuat rapi saja sama dia, hihi.",Fear
"deg-degan, tidak bisa mikir. Kalau sudah gugup tingkat tinggi biasanya tremor.",Fear
"iya mas, aku bingung saja, takut salah beli obat.",Fear
"hujan tidak kunjung reda, setiap hari hujan mulai menemani. Jadi malas keluar rumah. Untungnya wifi rumah pakai indihome jadi tidak takut internet lemot.",Fear
takut.,Fear
"tidak akan ada habisnya tidak sih? Takut ricuh, jadi kayaknya tidak ada nder.",Fear
"makji aku pengen makan mie ayam. Sudah bm dua minggu lalu, boleh tidak makji? Takut ileran ini cacingnya.",Fear
"malu tapi aku tidak diapakan apa-apa, wkwk. Sudah dibalikin begitu saja, dia tes detak jantung doang kali ya. Aku beneran deg-degan soalnya, tapi ya tetap tidak ada yang berubah, cuma memang tahu sih kalau dipretelin tetap takut.",Fear
"dari kemarin aku demam dan tenggorokannya sakit. Ya Allah, takut.",Fear
siapa yang salah di sini bang? Ngeri aku lihatnya.,Fear
"berharap ada yang cancel nendo bokuto dan akaashi yang di kyou, biar bisa checkout langsung di web kyou saja. Mau ambil opslot tapi takut karena harganya tidak murah dan rilisnya masih lama. Nunggu sampai indonesia lebih lama lagi tapi takut juga sih kalau tidak dapat lagi karena pasti perang lagi, wkwk.",Fear
"pas sange, pingin melakukan itu sama seseorang tapi takut.",Fear
