Tweet,Label
"suka sekali dengan kata-kata, kebenaran hanya menurut selera kalian saja.",Love
"hanse mode anak rumahan seperti ini aku suka sekali. pakai kaus terus bawahnya celana model apapun itu, misalnya jeans atau celana training. favorit sekali. atau pakai kemeja. sebenarnya apapun gayanya aku suka saja.",Love
ya masa mengejar cinta? mengejar salat tahajud saja kadang suka telat.,Love
"selamat pagi pengirim. sana tersedia pas hari valentine. nanti disayang-sayang sama sana. dia orangnya manja dan suka memanjakan balik, terus juga suka mengusap-usap dengan pacarnya. aku kirimkan tautan sana kalau tertarik, langsung ketuk pesan langsung aku ya.",Love
sopa. karena aku suka sekali jurusan tari di sana. aku sering mengikuti kegiatan harian anak sopa dan itu seru sekali. mereka juga suka mengadakan acara.,Love
terima kasih roo atas rekomendasinya. suka sekali sama alternate universe ini. aku sampai sakit perut ketawa terus.,Love
"awalnya mas firman suka memasak karena suka menonton masterchef australia musim dua pada tahun dua ribu sepuluh. mulai dari situlah benih-benih cinta terhadap masakan mulai muncul. untuk chef favorit atau panutannya sendiri ada gordon ramsay, sebastian fitarau, dan marion grasby.",Love
crush saya lucu sekali ya. ingin jujur deh sama muhammad kenzie rafael bahwa saya suka sama dia.,Love
sopa. karena aku suka sekali jurusan tari di sana. aku sering mengikuti kegiatan harian anak sopa dan itu seru sekali. mereka juga suka mengadakan acara.,Love
"ya sudah, tidak apa-apa. aku dan sahabatku di sekolah menengah atas pernah suka sama laki-laki yang sama. kita bawa santai saja. ingat sekali waktu itu laki-laki lagi main futsal di lapangan sekolah. siapa yang lihat duluan kasih tahu, lalu nonton bareng.",Love
iya sekali suka minderan. kalau menemani teman yang sukanya cuma lihat-lihat saja kadang malu sekali.,Love
aku suka sekali akumo no ko.,Love
"sama-sama, dia tidak suka pilih-pilih makanan ya? sepertinya nina juga memberi makan banyak sampai dia gemuk, lucu.",Love
lucu sekali editannya. aku waktu sekolah menengah atas suka sekali sama seri ini. liburan ke bandung cuma buat cari gramedia buat beli seri keempat karena di kotaku belum ada.,Love
"dibuat sama gdh. memang sudah jaminan mutu ya. suka sekali dengan gaya berceritanya, banyak memperlihatkan reaksi orang-orang. setiap adegan sungkem sama nenek-nenek, dadaku langsung sesak. ada di netflix. hari terakhir menonton tanggal dua puluh delapan februari besok. jadi buruan ditonton.",Love
"suka memberi sesuatu ke pacar. jadi kalau kamu memilih aku, tidak akan bosan dan akan dibuat bahagia terus. jika tertarik bisa langsung cek tautan aku atau kirim pesan ke agensiku. sampai jumpa.",Love
"bagus sekali untuk aku. mungkin kalau suka genre drama lalu genderbend akan suka juga. pemeran utama perempuannya independen, tapi bukan tipe yang tangguh berlebihan.",Love
"halo pengirim. izinkan kala mengajukan diri ya. kebetulan bisa tersedia di tanggal segitu, bisa ke kkt, dan bisa kencan menonton film juga. aku tipe yang suka sekali menceritakan hal-hal acak ke pasangan. aku juga lembut dan suka sekali memanjakan pasangan.",Love
sedih sekali setiap melihat kucing-kucing yang aku beri makan suka berkelahi rebutan. padahal seharusnya mereka bekerja sama untuk menggulingkan aku sebagai manusia kapitalis yang memegang sumber makanan mereka.,Love
"ada yang suka sama bill skarsgård? balas dengan film favoritmu dong. aku lagi menunggu sekali dia adu peran di ""boy kills world"" sama yayan ruhiyan. perannya jadi bisu dan tuli. keren sekali.",Love
eh aku ganti nama pengguna. masih kenal tidak? lagi suka sekali sama nama panggilan ai.,Love
aku tidak suka disepet tapi terima kasih sudah memberi foto ini.,Love
suka sekali.,Love
suka sekali dengan netizen seperti ini. otak detektif aku suka sekali.,Love
suka sekali rasa kacang merah. enak sekali.,Love
"makin sering mendengar diskografi cix, makin merasa ""aduh, aku suka sekali dengan cix.""",Love
"dipikir-pikir aku orangnya sok asik, nyatanya tidak mengasyikkan kan? sok akrab sekali padahal jijik gitu sama aku. ya sudah, tidak bisa memaksa buat suka sama aku.",Love
"bermimpi menemukan buku koleksi yang pas sekali aku suka, tapi pas bangun lupa bentukannya.",Love
"tertawa, suka sekali sama mereka aku tuh.",Love
suka sekali.,Love
"kadang suka berpikir kenapa ada orang seperti mama. mertuanya beracun sekali suka adu domba, tapi beliau tidak pernah membenci. kalau punya uang, beliau suka membelikan makanan dan sekeluarga harus merasakan. mau dibuat menangis bagaimana pun, beliau tetap sayang.",Love
"suka sekali, tapi lebih suka crush aku.",Love
suka sekali kak flo. ayo kita beli kak flo.,Love
siap suka sekali.,Love
tidak tahu tapi aku suka sekali sama anak itu.,Love
"work project terbaik minggu ini. selain tuli-san sastra, antitesis bakal jadi proyek favorit. setiap baca tiap bagiannya terasa nyaman. suka sekali sama tulisannya. semoga bisa menemukan yang bagus lagi.",Love
kirim foto ke pacar. omong-omong sekarang suka sekali mengalis.,Love
"halo pengirim. suka sekali sama lagu ini. lagunya sedih dan terlihat kalau sedih, tapi bukan yang temponya lambat. setiap baca terjemahan liriknya selalu ingat anime kesukaan pengirim. dan setelah mencari tahu ternyata seunghyub memang membuat lagu ini.",Love
favorit sekali jelas payphone. sisanya semua lagu mereka aku suka.,Love
"kelebihan realitas virtual aku paling suka menyelam di laut. lucu sekali. anakku suka sekali main itu, sama bola juga.",Love
